Response1,Response2,Response3,Response4,Response5,Date
6,16,11,5,16,2023-11-29
17,18,15,1,5,2023-11-29
14,15,6,7,1,2023-11-29
5,12,4,14,20,2023-11-29
12,17,4,17,18,2023-11-29
9,11,19,17,3,2023-11-29
4,20,11,12,14,2023-11-29
19,4,6,11,13,2023-11-29
1,11,2,19,18,2023-11-29
11,8,3,11,13,2023-11-29
4,2,12,14,8,2023-11-29
13,19,11,19,4,2023-11-29
1,19,7,13,2,2023-11-29
14,2,13,10,9,2023-11-29
20,13,11,17,12,2023-11-29
17,2,10,9,8,2023-11-29
12,10,16,8,15,2023-11-29
11,2,8,4,14,2023-11-29
5,9,8,13,4,2023-11-29
17,17,11,17,5,2023-11-29
1,11,4,18,12,2023-11-29
9,7,15,8,2,2023-11-29
13,18,19,5,2,2023-11-29
9,8,11,5,4,2023-11-29
5,12,11,12,14,2023-11-29
12,12,7,13,1,2023-11-29
18,17,2,19,4,2023-11-29
19,6,5,1,3,2023-11-29
19,6,12,1,14,2023-11-29
1,2,2,7,15,2023-11-29
16,12,13,8,10,2023-11-29
18,16,20,10,18,2023-11-29
16,3,13,6,18,2023-11-29
2,3,20,10,17,2023-11-29
7,20,10,13,8,2023-11-29
20,12,1,4,19,2023-11-29
1,10,5,8,6,2023-11-29
4,10,13,2,18,2023-11-29
18,16,7,11,14,2023-11-29
3,5,18,5,12,2023-11-29
12,18,15,9,2,2023-11-29
13,6,6,2,18,2023-11-29
20,7,11,4,18,2023-11-29
14,15,5,15,1,2023-11-29
5,5,11,12,16,2023-11-29
12,14,9,14,2,2023-11-29
3,14,1,8,20,2023-11-29
9,14,7,4,6,2023-11-29
6,7,8,8,4,2023-11-29
14,8,5,17,4,2023-11-29
6,14,12,3,15,2023-11-29
3,17,17,8,8,2023-11-29
5,8,2,5,20,2023-11-29
16,4,11,10,17,2023-11-29
2,13,6,11,16,2023-11-29
2,6,6,17,7,2023-11-29
16,4,16,15,15,2023-11-29
4,17,12,11,4,2023-11-29
5,5,6,11,4,2023-11-29
18,14,7,17,4,2023-11-29
15,11,7,16,11,2023-11-29
7,8,12,9,8,2023-11-29
8,8,12,1,1,2023-11-29
14,8,6,11,19,2023-11-29
19,5,7,6,10,2023-11-29
8,4,6,3,10,2023-11-29
10,18,10,6,2,2023-11-29
5,19,3,9,6,2023-11-29
13,17,3,9,20,2023-11-29
14,18,20,6,14,2023-11-29
2,3,3,13,7,2023-11-29
12,6,3,14,4,2023-11-29
19,15,4,2,3,2023-11-29
2,8,16,3,9,2023-11-29
11,17,14,8,13,2023-11-29
18,18,16,6,20,2023-11-29
7,1,15,19,19,2023-11-29
14,20,10,9,4,2023-11-29
6,12,7,20,7,2023-11-29
20,17,7,12,10,2023-11-29
19,16,7,16,16,2023-11-29
3,16,6,7,20,2023-11-29
6,9,5,1,6,2023-11-29
18,13,19,13,11,2023-11-29
19,7,7,6,10,2023-11-29
13,7,9,2,13,2023-11-29
9,14,11,11,12,2023-11-29
3,16,17,13,7,2023-11-29
2,15,7,12,12,2023-11-29
7,8,5,8,14,2023-11-29
10,4,10,13,7,2023-11-29
16,3,13,9,9,2023-11-29
2,16,7,8,9,2023-11-29
8,1,12,17,4,2023-11-29
16,17,5,6,11,2023-11-29
9,17,19,4,12,2023-11-29
11,15,12,1,15,2023-11-29
9,15,8,20,19,2023-11-29
2,1,9,9,17,2023-11-29
14,10,6,8,13,2023-11-29
15,19,19,2,12,2023-11-29
16,7,17,11,8,2023-11-29
8,20,11,15,12,2023-11-29
7,8,13,7,19,2023-11-29
7,16,5,17,11,2023-11-29
5,15,19,4,2,2023-11-29
6,4,11,14,17,2023-11-29
7,7,20,6,18,2023-11-29
11,1,5,2,9,2023-11-29
1,16,18,19,14,2023-11-29
7,14,8,10,16,2023-11-29
7,15,16,12,9,2023-11-29
8,3,9,13,10,2023-11-29
17,17,3,6,8,2023-11-29
20,19,18,20,2,2023-11-29
1,14,16,12,19,2023-11-29
5,19,1,1,7,2023-11-29
5,3,17,10,18,2023-11-29
15,1,14,10,5,2023-11-29
8,7,9,6,1,2023-11-29
15,17,6,16,5,2023-11-29
3,8,15,6,4,2023-11-29
19,13,13,19,17,2023-11-29
6,13,3,17,9,2023-11-29
18,7,8,4,4,2023-11-29
16,11,13,11,6,2023-11-29
1,18,8,13,15,2023-11-29
19,16,10,20,17,2023-11-29
16,3,3,1,10,2023-11-29
20,18,19,9,9,2023-11-29
1,9,4,1,6,2023-11-29
9,19,12,6,6,2023-11-29
8,6,11,18,11,2023-11-29
15,3,7,10,4,2023-11-29
9,1,9,3,20,2023-11-29
1,18,15,9,15,2023-11-29
14,11,6,15,15,2023-11-29
19,10,15,15,12,2023-11-29
4,14,11,2,13,2023-11-29
9,6,10,12,15,2023-11-29
9,3,13,18,8,2023-11-29
18,12,18,15,11,2023-11-29
20,3,11,15,1,2023-11-29
16,16,16,10,13,2023-11-29
10,18,13,18,1,2023-11-29
7,4,1,13,7,2023-11-29
9,2,16,20,10,2023-11-29
3,18,19,17,3,2023-11-29
5,19,8,14,15,2023-11-29
3,2,1,1,14,2023-11-29
1,13,2,18,20,2023-11-29
15,9,19,17,5,2023-11-29
6,5,2,2,20,2023-11-29
9,8,2,10,6,2023-11-29
3,6,14,8,12,2023-11-29
9,15,1,20,14,2023-11-29
9,17,19,11,14,2023-11-29
7,5,20,2,16,2023-11-29
17,20,14,12,14,2023-11-29
14,10,9,8,15,2023-11-29
2,14,17,9,1,2023-11-29
4,2,17,1,16,2023-11-29
7,14,15,3,7,2023-11-29
19,19,10,4,10,2023-11-29
5,18,13,8,19,2023-11-29
6,3,6,18,18,2023-11-29
5,8,13,14,5,2023-11-29
6,14,3,1,1,2023-11-29
7,15,12,2,17,2023-11-29
7,13,7,13,2,2023-11-29
19,16,18,13,4,2023-11-29
14,18,14,4,4,2023-11-29
15,19,14,3,18,2023-11-29
16,15,7,2,19,2023-11-29
16,15,18,9,3,2023-11-29
5,15,14,8,12,2023-11-29
1,2,19,13,1,2023-11-29
10,5,18,5,3,2023-11-29
15,12,20,5,7,2023-11-29
4,9,7,5,6,2023-11-29
14,6,1,3,18,2023-11-29
12,14,1,15,4,2023-11-29
17,15,10,14,6,2023-11-29
18,2,14,8,13,2023-11-29
10,9,8,2,10,2023-11-29
3,5,3,10,16,2023-11-29
16,3,16,19,2,2023-11-29
9,12,11,16,15,2023-11-29
19,15,10,6,1,2023-11-29
13,11,13,19,1,2023-11-29
7,18,10,13,18,2023-11-29
18,7,19,13,2,2023-11-29
15,18,14,17,1,2023-11-29
4,15,4,1,13,2023-11-29
7,20,7,6,1,2023-11-29
8,7,15,6,4,2023-11-29
11,7,3,13,6,2023-11-29
4,11,1,20,10,2023-11-29
11,16,7,8,8,2023-11-29
11,4,17,16,2,2023-11-29
15,17,15,9,4,2023-11-29
4,11,18,15,14,2023-11-29
9,17,1,18,9,2023-11-29
12,16,20,15,20,2023-11-29
2,4,2,15,1,2023-11-29
15,19,6,16,10,2023-11-29
4,10,6,1,8,2023-11-29
7,13,5,1,13,2023-11-29
4,18,10,19,18,2023-11-29
18,11,16,1,19,2023-11-29
11,18,16,5,12,2023-11-29
7,4,1,7,13,2023-11-29
18,3,18,8,2,2023-11-29
9,7,10,3,2,2023-11-29
2,11,5,14,19,2023-11-29
14,17,20,7,9,2023-11-29
4,17,14,20,3,2023-11-29
5,9,11,2,14,2023-11-29
14,14,13,2,2,2023-11-29
4,14,11,20,4,2023-11-29
7,9,2,2,14,2023-11-29
8,6,20,3,11,2023-11-29
3,14,14,15,12,2023-11-29
4,9,18,5,16,2023-11-29
15,9,16,10,16,2023-11-29
3,8,18,9,14,2023-11-29
12,19,17,5,4,2023-11-29
16,20,4,19,3,2023-11-29
13,2,15,19,2,2023-11-29
20,20,2,5,9,2023-11-29
10,11,19,7,8,2023-11-29
10,9,18,14,10,2023-11-29
14,18,8,15,16,2023-11-29
17,5,10,6,5,2023-11-29
9,17,9,6,9,2023-11-29
4,8,3,11,6,2023-11-29
13,13,8,14,1,2023-11-29
11,2,1,15,17,2023-11-29
7,19,12,19,14,2023-11-29
16,8,6,15,12,2023-11-29
18,19,16,19,17,2023-11-29
2,5,1,8,3,2023-11-29
3,13,4,19,7,2023-11-29
15,15,5,12,16,2023-11-29
8,15,20,16,1,2023-11-29
12,12,4,15,13,2023-11-29
11,14,2,3,5,2023-11-29
18,18,6,7,6,2023-11-29
18,2,12,8,9,2023-11-29
16,4,6,5,16,2023-11-29
14,14,17,13,7,2023-11-29
12,11,15,16,14,2023-11-29
4,20,16,14,3,2023-11-29
19,16,3,20,15,2023-11-29
4,5,14,11,20,2023-11-29
1,17,1,16,10,2023-11-29
16,15,5,2,8,2023-11-29
19,17,20,14,14,2023-11-29
12,13,1,17,9,2023-11-29
11,14,12,7,7,2023-11-29
20,9,10,18,14,2023-11-29
11,3,3,8,3,2023-11-29
9,17,5,13,1,2023-11-29
9,10,16,20,13,2023-11-29
7,4,9,12,12,2023-11-29
5,12,7,18,4,2023-11-29
2,20,15,2,3,2023-11-29
15,10,20,11,9,2023-11-29
12,5,17,9,6,2023-11-29
19,9,16,20,19,2023-11-29
12,6,6,2,10,2023-11-29
19,4,7,19,11,2023-11-29
14,6,3,4,10,2023-11-29
8,19,1,16,1,2023-11-29
6,10,20,19,3,2023-11-29
20,2,6,8,14,2023-11-29
17,1,1,2,11,2023-11-29
2,9,16,17,5,2023-11-29
12,10,10,13,11,2023-11-29
4,9,8,14,19,2023-11-29
1,17,8,12,4,2023-11-29
7,3,7,15,14,2023-11-29
10,15,5,16,16,2023-11-29
12,3,18,4,18,2023-11-29
11,15,2,11,6,2023-11-29
7,8,3,19,5,2023-11-29
9,7,9,16,15,2023-11-29
7,5,11,5,14,2023-11-29
4,5,8,3,16,2023-11-29
20,8,6,6,6,2023-11-29
20,20,10,4,20,2023-11-29
17,6,20,5,1,2023-11-29
4,19,5,13,4,2023-11-29
9,11,4,17,16,2023-11-29
1,19,10,3,16,2023-11-29
1,3,19,15,16,2023-11-29
6,16,7,11,2,2023-11-29
17,14,17,1,18,2023-11-29
8,15,9,11,9,2023-11-29
13,1,6,4,3,2023-11-29
5,20,6,13,16,2023-11-29
1,20,18,7,14,2023-11-29
9,3,14,15,12,2023-11-29
20,13,16,3,6,2023-11-29
9,6,4,12,13,2023-11-29
19,13,17,13,15,2023-11-29
18,8,9,9,14,2023-11-29
15,18,4,9,12,2023-11-29
17,2,2,1,17,2023-11-29
3,13,7,11,15,2023-11-29
11,7,2,17,5,2023-11-29
2,5,8,19,18,2023-11-29
